"Gene","Mouse_Macrophage_Cluster9_Expression"
"Siglec1",0.0660920614107344
"Tlr4",0.528061611815539
"C1qa",22.7493303984269
"P2rx7",1.27938776874538
"Pilra",0.33396299094775
"C3ar1",1.21214369435682
"Clec7a",0.817110476048598
"C5ar1",0.910910046963532
"Lilrb4a",0.110933209018017
"Lyz2",15.2124986061104
"Cd300e",0.0368264697673479
"Csf1r",3.51503358021593
